t,c11, c12, c13, c14, c22, c23, c24, c33, c34, c44
0.151155,1.31377,6.29861e-10,6.29861e-10,0.557809,0.376165,0.376165,-4.22428e-10,0.376165,-4.22428e-10,1.3137
0.131776,1.10503,-4.98047e-09,-4.98047e-09,0.453534,0.330163,0.330163,4.60433e-09,0.330163,4.60433e-09,1.13175
0.112396,0.83554,-1.34143e-09,-1.34143e-09,0.326003,0.262947,0.262947,1.74646e-08,0.262947,1.74646e-08,0.883274
0.0930164,0.647046,-4.03948e-09,-4.03948e-09,0.240685,0.206479,0.206479,-1.08622e-08,0.206479,-1.08622e-08,0.686643
0.0736367,0.47008,2.11425e-09,2.11425e-09,0.163125,0.137639,0.137639,-1.0445e-08,0.137639,-1.0445e-08,0.480813
0.0542571,0.270689,-5.24318e-09,-5.24318e-09,0.104696,0.0900302,0.0900302,1.39311e-08,0.0900302,1.39311e-08,0.337673
0.0348774,0.162162,-1.1442e-09,-1.1442e-09,0.052887,0.0454245,0.0454245,2.30071e-08,0.0454245,2.30071e-08,0.178358
0.0154978,0.0784969,4.82359e-10,4.82359e-10,0.0227515,0.0203254,0.0203254,-1.59293e-08,0.0203254,-1.59293e-08,0.082043
0.146118,1.26976,2.98964e-10,2.98963e-10,0.530354,0.364892,0.364892,-2.89614e-09,0.364892,-2.89614e-09,1.25727
0.126738,1.02868,-6.01731e-10,-6.01731e-10,0.407077,0.310625,0.310625,-2.57729e-10,0.310625,-2.57729e-10,1.03705
0.107359,0.83554,-1.34143e-09,-1.34143e-09,0.326003,0.262947,0.262947,1.74646e-08,0.262947,1.74646e-08,0.883274
0.0879791,0.617381,5.47652e-10,5.47652e-10,0.22645,0.188912,0.188912,-4.45877e-09,0.188912,-4.45877e-09,0.646315
0.0685995,0.39353,4.95836e-09,4.95836e-09,0.153707,0.12968,0.12968,7.52508e-10,0.12968,7.52508e-10,0.473056
0.0492198,0.261865,3.96642e-09,3.96642e-09,0.0924916,0.0759987,0.0759987,8.43598e-09,0.0759987,8.43598e-09,0.293876
0.0298402,0.162162,-1.1442e-09,-1.1442e-09,0.052887,0.0454245,0.0454245,2.30071e-08,0.0454245,2.30071e-08,0.178358
0.0104605,0.07245,-6.22318e-08,-6.22318e-08,0.00927308,0.00834487,0.00834487,-1.00737e-07,0.00834487,-1.00737e-07,0.0335606
0.141081,1.22843,-6.00637e-10,-6.00637e-10,0.514607,0.356995,0.356995,-5.3035e-09,0.356995,-5.3035e-09,1.23808
0.121701,1.02868,-6.01731e-10,-6.01731e-10,0.407077,0.310625,0.310625,-2.57729e-10,0.310625,-2.57729e-10,1.03705
0.102322,0.774374,2.40185e-09,2.40185e-09,0.28796,0.240476,0.240476,-1.96272e-08,0.240476,-1.96272e-08,0.78946
0.0829419,0.525491,2.34569e-09,2.34569e-09,0.200174,0.174308,0.174308,6.54207e-09,0.174308,6.54207e-09,0.595832
0.0635623,0.367563,5.90176e-09,5.90176e-09,0.132267,0.112207,0.112207,-9.26913e-09,0.112207,-9.26913e-09,0.405642
