w, grad11, grad21, grad12, grad22,P11, P21, P12, P22, c11, c12, c13, c14, c21, c22, c23, c24, c31, c32, c33, c34, c41, c42, c43, c44
0.339836,-0.0054637,-0.191561,0.171046,0.00208989,0.0154868,-0.00784335,-0.00151332,0.0193945,0.865421,-0.114385,0.0936486,0.290367,-0.114385,0.259353,0.204338,-0.092205,0.0936486,0.204338,0.259272,0.11259,0.290367,-0.0922051,0.11259,0.861705
0.223558,-0.00642696,-0.193659,0.170528,0.00461053,0.0202672,-0.0115227,-0.00283668,0.0274088,1.08145,-0.132469,0.136066,0.412832,-0.132469,0.346404,0.275892,-0.123686,0.136066,0.275892,0.350374,0.141396,0.412832,-0.123686,0.141396,1.06819
0.10728,-0.00739022,-0.195757,0.16583,0.0103866,0.0250586,-0.0163872,-0.00503125,0.0378531,1.24124,-0.143197,0.166487,0.505097,-0.143197,0.397355,0.314888,-0.13972,0.166487,0.314888,0.406062,0.164473,0.505097,-0.13972,0.164473,1.21185
0.891002,-0.0306,-0.019104,0.00396477,0.00212903,-0.00326244,6.5009e-05,9.63215e-07,6.83259e-05,0.109463,-0.00327073,-0.000990205,0.00518383,-0.00327062,-0.00331531,-1.27432e-05,-0.000117602,-0.000990123,-1.27644e-05,4.00943e-05,0.00039925,0.00518388,-0.000117582,0.000399269,0.104906
0.774724,-0.0327999,-0.0387128,0.0176487,0.00807146,-0.00804867,0.000168774,-0.000126926,0.00115605,0.265715,-0.011185,0.00014749,0.0289907,-0.011185,-0.000777097,0.0067665,-0.00190588,0.000147486,0.00676651,0.00770169,0.00377621,0.0289907,-0.0019059,0.0037762,0.249484
0.658446,-0.0349997,-0.0583215,0.0314239,0.0118853,-0.0131285,-0.000139227,-0.000807224,0.00264812,0.432793,-0.02623,0.00210548,0.0745594,-0.0262299,0.0210339,0.0312641,-0.00783413,0.00210557,0.0312641,0.0328561,0.0101942,0.0745594,-0.00783408,0.0101942,0.40494
0.542168,-0.0176471,-0.013632,0.00353839,0.00119017,-0.0103321,-0.000773459,-0.000906179,-0.00186553,0.607007,-0.00771585,0.00044536,0.148143,-0.00771583,0.0798285,0.0885273,-0.00374508,0.000445386,0.0885273,0.0850083,0.00133607,0.148143,-0.00374502,0.00133613,0.59096
0.42589,-0.0194295,-0.0348296,0.0161778,0.00460296,-0.013196,-0.00256045,-0.00296705,-0.000642143,0.764267,-0.0210085,0.0070732,0.225366,-0.0210086,0.14637,0.155069,-0.0127595,0.00707307,0.155069,0.151129,0.0102351,0.225366,-0.0127594,0.0102352,0.740397
0.309613,-0.021212,-0.0560272,0.0295606,0.00696657,-0.0171148,-0.00627657,-0.00704169,0.000391542,0.998662,-0.0331937,0.0274869,0.354791,-0.0331937,0.249895,0.257293,-0.0258065,0.0274869,0.257293,0.252889,0.0299295,0.354791,-0.0258066,0.0299294,0.963425
0.193335,-0.00606447,-0.0112293,0.003112,0.000251319,-0.00709207,-0.00270618,-0.00277681,-0.00260453,1.20169,-0.00392933,0.00839192,0.485694,-0.00392931,0.335312,0.34023,-0.00351339,0.00839194,0.34023,0.335598,0.0084443,0.485694,-0.00351341,0.00844429,1.19143
0.0770567,-0.00677762,-0.0329364,0.014707,0.00113446,-0.00794346,-0.00684613,-0.00708094,-0.00187797,1.3431,-0.0144074,0.0314103,0.568783,-0.0144074,0.379753,0.384003,-0.0142047,0.0314103,0.384003,0.380584,0.0312025,0.568783,-0.0142047,0.0312024,1.32805
0.860779,-0.00749078,-0.0546435,0.0276974,0.0020478,-0.000822409,1.08351e-05,-2.60343e-05,0.000292412,0.141805,-0.0080559,1.48253e-05,0.00905176,-0.00805597,0.000921081,0.00126788,-0.000811018,1.47298e-05,0.00126788,0.00164429,0.00359368,0.00905175,-0.000811055,0.00359364,0.140302
0.744501,-0.0361988,-0.067167,0.0400153,0.0132589,-0.00956719,0.000338688,-0.000201738,0.00279312,0.305851,-0.0220371,0.00114446,0.0379702,-0.0220371,0.00301019,0.0106589,-0.00423691,0.00114452,0.0106589,0.0133449,0.00992458,0.0379702,-0.00423691,0.00992458,0.284698
0.628223,-0.0345883,-0.0798792,0.0546831,0.0145055,-0.0131484,-0.000152196,-0.000938761,0.00447746,0.473839,-0.0379286,0.00587073,0.0891799,-0.0379286,0.0342497,0.0418833,-0.0124249,0.00587073,0.0418833,0.045798,0.0200231,0.0891799,-0.0124249,0.0200232,0.443482
0.511945,-0.0329777,-0.0925914,0.0677673,0.0141507,-0.0160221,-0.00166169,-0.00266228,0.00576163,0.661703,-0.0543923,0.0181987,0.168912,-0.0543923,0.102969,0.107173,-0.0274661,0.0181987,0.107173,0.111766,0.0335302,0.168912,-0.0274661,0.0335302,0.623698
0.395667,-0.0212881,-0.0655292,0.03781,0.00784948,-0.0135732,-0.0044432,-0.00511582,0.0021707,0.818071,-0.0399884,0.0194635,0.253494,-0.0399885,0.174401,0.179242,-0.0261603,0.0194635,0.179242,0.178443,0.0257604,0.253494,-0.0261603,0.0257604,0.789255
0.279389,-0.0208963,-0.0794523,0.051745,0.0086676,-0.0152439,-0.00722242,-0.00802093,0.00371454,1.05236,-0.0497199,0.047276,0.385991,-0.0497199,0.277143,0.278101,-0.0412176,0.047276,0.278101,0.279938,0.0503588,0.385991,-0.0412176,0.0503588,1.01391
0.163111,-0.0205046,-0.0933754,0.064826,0.00866526,-0.0157703,-0.00964097,-0.010472,0.00544638,1.26159,-0.0618128,0.0798297,0.507596,-0.0618128,0.354431,0.350366,-0.0579886,0.0798297,0.350366,0.3581,0.0789896,0.507596,-0.0579886,0.0789896,1.21256
0.0468333,-0.00747489,-0.0647103,0.0356047,0.00244006,-0.0064541,-0.0110688,-0.011334,0.00118164,1.35362,-0.0345233,0.0625383,0.573849,-0.0345233,0.384764,0.383955,-0.0341515,0.0625383,0.383955,0.387573,0.0619372,0.573849,-0.0341515,0.0619372,1.33456
0.830555,-0.00757228,-0.0790634,0.0488069,0.00282972,-0.000727474,-2.10939e-05,-4.62384e-05,0.000657317,0.177326,-0.0143853,0.000409572,0.014092,-0.0143853,0.00305514,0.00252761,-0.0017125,0.000409539,0.00252761,0.00357544,0.00801663,0.014092,-0.00171252,0.00801661,0.17578
0.714277,-0.00766967,-0.0934166,0.0618848,0.00317984,-0.000864732,-0.000462694,-0.000441446,0.00156866,0.328221,-0.0303585,0.00298274,0.0471431,-0.0303584,0.0190793,0.0164722,-0.00701097,0.00298279,0.0164722,0.0192425,0.0180009,0.0471431,-0.00701099,0.0180009,0.325956
0.598,-0.0317808,-0.0997979,0.0748333,0.013581,-0.0118633,-0.000426603,-0.00118009,0.00535669,0.513322,-0.049444,0.0106589,0.105238,-0.049444,0.0513222,0.0545097,-0.0181552,0.0106589,0.0545097,0.0606054,0.0299664,0.105238,-0.0181552,0.0299664,0.484718
