rx, ry, theta,c11, c12, c13, c14, c22, c23, c24, c33, c34, c44
0.0339127,0.206876,0.242626,0.987717,-0.0340949,-0.0340949,0.42316,0.333107,0.333107,-0.0389549,0.333107,-0.0389549,1.22878
0.425774,0.0739415,1.40199,0.402409,0.0718339,0.0718339,0.174315,0.198647,0.198647,0.0800081,0.198647,0.0800081,1.02365
0.367635,0.391007,0.991345,0.398977,-0.00701324,-0.00701324,0.0830238,0.0508818,0.0508818,-0.00765024,0.0508818,-0.00765024,0.381085
0.309496,0.258073,0.580705,0.677146,0.0254517,0.0254517,0.207661,0.152091,0.152091,0.0246716,0.152091,0.0246716,0.638606
0.251357,0.125139,0.170064,1.06098,0.0246552,0.0246552,0.351397,0.26832,0.26832,0.0230356,0.26832,0.0230356,0.83296
0.193218,0.442204,1.32942,0.754667,-0.0578066,-0.0578066,0.12966,0.112904,0.112904,-0.0675653,0.112904,-0.0675653,0.324903
0.135079,0.30927,0.918783,0.868589,-0.0955765,-0.0955765,0.287789,0.245168,0.245168,-0.0932941,0.245168,-0.0932941,0.779529
0.07694,0.176336,0.508143,1.0869,-0.0394778,-0.0394778,0.452268,0.331924,0.331924,-0.0408778,0.331924,-0.0408778,1.1673
0.0188011,0.0434015,0.0975022,1.32227,-0.00160562,-0.00160562,0.567027,0.381043,0.381043,-0.00120956,0.381043,-0.00120956,1.33715
0.410662,0.360467,1.25686,0.334461,0.0110883,0.0110883,0.0772613,0.045714,0.045714,0.0092346,0.045714,0.0092346,0.418178
0.352523,0.227533,0.846221,0.628137,0.0633264,0.0633264,0.200375,0.157134,0.157134,0.0642823,0.157134,0.0642823,0.653001
0.294384,0.0945986,0.435581,1.01296,0.0905745,0.0905745,0.314342,0.269817,0.269817,0.0816801,0.269817,0.0816801,0.783295
0.236245,0.411664,0.0249403,0.379546,-0.0060603,-0.0060603,0.133426,0.0926065,0.0926065,-0.0045037,0.0926065,-0.0045037,0.704014
0.178106,0.27873,1.1843,0.893222,-0.0432059,-0.0432059,0.29207,0.223549,0.223549,-0.0428575,0.223549,-0.0428575,0.757825
0.119967,0.145796,0.773659,1.12262,-0.0127718,-0.0127718,0.459514,0.32525,0.32525,-0.012245,0.32525,-0.012245,1.12573
0.0618283,0.0128615,0.363019,1.32744,0.00664841,0.00664841,0.557772,0.378704,0.378704,0.0063648,0.378704,0.0063648,1.30378
0.00368937,0.329927,1.52238,1.32655,1.32074e-05,1.32074e-05,0.542595,0.374294,0.374294,8.23262e-05,0.374294,8.23262e-05,1.26406
0.39555,0.196993,1.11174,0.495749,0.0821786,0.0821786,0.180767,0.155154,0.155154,0.0817006,0.155154,0.0817006,0.727313
0.337411,0.0640586,0.701098,0.892703,0.140852,0.140852,0.277722,0.284219,0.284219,0.136823,0.284219,0.136823,0.795849
0.279272,0.381124,0.290457,0.442083,-0.0287606,-0.0287606,0.139435,0.0974628,0.0974628,-0.0247831,0.0974628,-0.0247831,0.61182
0.221134,0.24819,1.44982,0.840101,-0.00553231,-0.00553231,0.28964,0.213295,0.213295,-0.00515155,0.213295,-0.00515155,0.786445
0.162995,0.115256,1.03918,1.08295,0.0215684,0.0215684,0.447073,0.319851,0.319851,0.0225442,0.319851,0.0225442,1.12792
0.104856,0.432321,0.628536,0.557543,-0.147186,-0.147186,0.204588,0.23035,0.23035,-0.155918,0.23035,-0.155918,0.760909
0.0467166,0.299387,0.217895,0.771757,-0.0520715,-0.0520715,0.329753,0.291307,0.291307,-0.0608702,0.291307,-0.0608702,1.15454
0.438578,0.166453,1.37725,0.336343,0.062754,0.062754,0.138552,0.124547,0.124547,0.0558703,0.124547,0.0558703,0.82279
0.380439,0.0335186,0.966614,0.693923,0.150508,0.150508,0.241967,0.29067,0.29067,0.165469,0.29067,0.165469,0.910885
0.3223,0.350584,0.555974,0.495542,-0.0118748,-0.0118748,0.133826,0.0904269,0.0904269,-0.0114479,0.0904269,-0.0114479,0.521125
